note;serial_number;retired;is_broken;owner;inventory_pool;building;room;properties_installation_status;model
TAA-C07-13.net.zhdk.ch;FOC2713Y04L;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C07-13.net.zhdk.ch;FOC2713Y04C;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C07-14.net.zhdk.ch;FOC2713Y7T7;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C07-14.net.zhdk.ch;FOC2713Y03X;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C07-14.net.zhdk.ch;FOC2638YRKD;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-CE-IN1.net.zhdk.ch;CAT2402L2FD;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;installed;Catalyst 9500-48Y4C
TAA-D01-15.net.zhdk.ch;FOC2727Y2ZR;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D01-15.net.zhdk.ch;FVH2737L85S;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D01-32.net.zhdk.ch;FOC2730Y1CD;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D01-32.net.zhdk.ch;FVH2737L880;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D03-16.net.zhdk.ch;FOC2729Y0XM;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D03-16.net.zhdk.ch;FVH2737L87W;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D03-17.net.zhdk.ch;FVH2737L8AX;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D03-17.net.zhdk.ch;FOC2727Y59V;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D03-17.net.zhdk.ch;FOC2542Y5ER;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D03-18.net.zhdk.ch;FOC2713Y4U9;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D03-18.net.zhdk.ch;FOC2713Y4YW;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D03-31.net.zhdk.ch;FOC2730YC6D;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D03-31.net.zhdk.ch;FOC2733Y01D;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-D03-31.net.zhdk.ch;FOC2542Y5J8;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
